feature,spearman_value_shap,mean_abs_shap
Elevation__Low,0.8559643279364642,0.06133357985780697
Elevation,-0.7480675783671181,0.05944183123727195
Aspect,0.08419181127488776,0.04021123465045882
LUC_majori,-0.6573055726629562,0.03683672191207075
