confidence_bin,observations,accuracy,mean_confidence
"(-0.001, 0.2]",15874,0.4814161521985637,0.10196546904332636
"(0.2, 0.4]",11984,0.5156041388518025,0.2920723404909633
"(0.4, 0.6]",4743,0.6242884250474383,0.48524725376761757
"(0.6, 0.8]",2278,0.6953467954345918,0.7032848786471017
"(0.8, 1.0]",4265,0.9130128956623681,0.9415725896915815
