metric,mean,ci_2_5,ci_97_5
accuracy,0.5683416360106274,0.5633813611281423,0.5732245043940323
balanced_accuracy,0.5833851782208221,0.5787806425598343,0.587395445513213
precision,0.6715038173239627,0.6631475514124778,0.6794544815340514
recall,0.3889804162862775,0.3829038126844109,0.3959288035424462
f1,0.4926014288517848,0.485877148972898,0.4986835022155093
roc_auc,0.6888496538758432,0.6831643536815654,0.6940912759465825
